Date,crude_price,sp_500,vix,usd,libya_oil_production,kazak_oil_production,qatar_oil_production,iran_oil_production,kuwait_oil_production,uae_oil_production,saudi_oil_production,iraq_oil_production,world_oil_consumption,usa_oil_production
2017-07-01,44.66600112915039,2427.2,10.72199993133545,95.9479995727539,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-02,44.66600112915039,2427.2,10.72199993133545,95.9479995727539,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-03,47.06999969482422,2425.0,11.220000267028809,95.96900177001953,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-04,45.695000648498535,2426.125,10.96749997138977,95.625,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-05,45.130001068115234,2428.0,11.069999694824219,96.05899810791016,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-06,45.52000045776367,2408.5,12.539999961853027,95.57499694824219,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-07-07,44.22999954223633,2422.5,11.1899995803833,95.79199981689453,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9246000.0
2017-08-01,49.15999984741211,2472.25,10.09000015258789,92.9010009765625,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-02,49.59000015258789,2473.5,10.279999732971191,92.6989974975586,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-03,49.029998779296875,2471.75,10.4399995803833,92.70700073242188,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-04,49.58000183105469,2472.0,10.029999732971191,93.41600036621094,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-05,49.50599975585938,2471.5,10.219999885559082,92.88820037841796,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-06,49.50599975585938,2471.5,10.219999885559082,92.88820037841796,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-08-07,49.38999938964844,2477.5,9.930000305175781,93.30899810791016,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9250000.0
2017-09-01,47.290000915527344,2474.25,10.130000114440918,92.76899719238281,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-02,46.69799957275391,2458.15,10.992000007629395,92.50879821777343,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-03,46.69799957275391,2458.15,10.992000007629395,92.50879821777343,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-04,46.72999954223633,2461.75,10.910000085830688,92.60099792480469,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-05,48.65999984741211,2459.75,12.229999542236328,92.22599792480469,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-06,49.15999984741211,2465.5,11.630000114440918,92.25199890136719,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-09-07,49.09000015258789,2466.5,11.550000190734863,91.64199829101562,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9516000.0
2017-10-01,51.89400024414063,2504.15,9.86200008392334,92.84160003662109,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-02,50.58000183105469,2526.25,9.449999809265137,93.40499877929688,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-03,50.41999816894531,2532.75,9.510000228881836,93.41400146484375,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-04,49.97999954223633,2536.25,9.630000114440918,93.28399658203125,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-05,50.790000915527344,2550.0,9.1899995803833,93.8030014038086,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-06,49.290000915527344,2545.0,9.649999618530273,93.64099884033203,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-10-07,50.2120002746582,2538.05,9.485999870300294,93.5093994140625,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9668000.0
2017-11-01,54.29999923706055,2574.75,10.199999809265137,94.70899963378906,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-02,54.540000915527344,2576.75,9.930000305175781,94.58799743652344,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-03,55.63999938964844,2582.75,9.140000343322754,94.85800170898438,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-04,54.6020004272461,2575.05,9.990000152587891,94.60760040283203,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-05,54.6020004272461,2575.05,9.990000152587891,94.60760040283203,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-06,57.349998474121094,2588.75,9.399999618530273,94.65699768066406,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-11-07,57.20000076293945,2586.75,9.890000343322754,94.80000305175781,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,10085000.0
2017-12-01,58.36000061035156,2644.0,11.430000305175781,92.84100341796875,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-02,57.832000732421875,2628.95,10.661999893188476,92.99759979248047,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-03,57.832000732421875,2628.95,10.661999893188476,92.99759979248047,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-04,57.470001220703125,2638.25,11.680000305175781,93.14399719238281,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-05,57.619998931884766,2628.25,11.329999923706055,93.33399963378906,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-06,55.959999084472656,2629.25,11.020000457763672,93.58200073242188,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2017-12-07,56.689998626708984,2639.5,10.15999984741211,93.76899719238281,810000.0,1771232.8767,607394.2521,3814750.0,2704235.6164,2936989.8852,9950000.0,4469250.0,52978.8,9983000.0
2018-01-01,59.96749973297119,2683.5625,10.485000133514404,92.38475036621094,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-01-02,60.369998931884766,2693.0,9.770000457763672,91.572998046875,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-01-03,61.630001068115234,2711.0,9.149999618530273,91.89600372314453,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-01-04,62.0099983215332,2723.75,9.220000267028809,91.58100128173828,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-01-05,61.439998626708984,2742.5,9.220000267028809,91.6729965209961,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-01-06,61.36249923706055,2717.5625,9.34000015258789,91.68074989318848,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
